rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.605625,0.0,0.6163463041100172,0.0,0.046897172927856445,0.0,0.0045397281646728516,0.0,5,1,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.605625,0.6163463041100172
2,0.6025,0.0,0.6122831692451945,0.0,0.06592440605163574,0.0,0.014840126037597656,0.0,5,1,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.6025,0.6122831692451945
3,0.59875,0.0,0.608220034380372,0.0,0.07245755195617676,0.0,0.003229856491088867,0.0,5,1,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.59875,0.608220034380372
4,0.551875,0.0,0.5553992811376778,0.0,0.057610511779785156,0.0,0.0040090084075927734,0.0,4,30,2,"{'model__max_depth': 4, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.551875,0.5553992811376778
4,0.551875,0.0,0.5553992811376778,0.0,0.07172489166259766,0.0,0.008000850677490234,0.0,4,30,30,"{'model__max_depth': 4, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.551875,0.5553992811376778
4,0.551875,0.0,0.5553992811376778,0.0,0.03743743896484375,0.0,0.00400543212890625,0.0,4,30,100,"{'model__max_depth': 4, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.551875,0.5553992811376778
7,0.54875,0.0,0.5754024066260354,0.0,0.08244729042053223,0.0,0.0039997100830078125,0.0,9,1,2,"{'model__max_depth': 9, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.54875,0.5754024066260354
8,0.5425,0.0,0.5646194717924675,0.0,0.08468508720397949,0.0,0.0030105113983154297,0.0,7,1,2,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.5425,0.5646194717924675
9,0.538125,0.0,0.540084388185654,0.0,0.037520647048950195,0.0,0.005995750427246094,0.0,4,100,2,"{'model__max_depth': 4, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.538125,0.540084388185654
9,0.538125,0.0,0.540084388185654,0.0,0.04425835609436035,0.0,0.005006074905395508,0.0,4,100,30,"{'model__max_depth': 4, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.538125,0.540084388185654
9,0.538125,0.0,0.540084388185654,0.0,0.07592964172363281,0.0,0.00299835205078125,0.0,4,100,100,"{'model__max_depth': 4, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.538125,0.540084388185654
12,0.535625,0.0,0.5527426160337553,0.0,0.13440346717834473,0.0,0.0040035247802734375,0.0,7,1,30,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.535625,0.5527426160337553
13,0.525,0.0,0.5432098765432098,0.0,0.07648515701293945,0.0,0.004002094268798828,0.0,7,1,100,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.525,0.5432098765432098
14,0.524375,0.0,0.5472730114080325,0.0,0.09387660026550293,0.0,0.007001399993896484,0.0,9,1,30,"{'model__max_depth': 9, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.524375,0.5472730114080325
15,0.515625,0.0,0.5552430067198,0.0,0.06474614143371582,0.0,0.004296302795410156,0.0,10,1,2,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.515625,0.5552430067198
16,0.493125,0.0,0.5130489138927957,0.0,0.08627915382385254,0.0,0.0060002803802490234,0.0,9,1,100,"{'model__max_depth': 9, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.493125,0.5130489138927957
17,0.48875,0.0,0.5182059696827629,0.0,0.08568906784057617,0.0,0.004000425338745117,0.0,6,1,2,"{'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.48875,0.5182059696827629
18,0.48375,0.0,0.5152367557430848,0.0,0.09274435043334961,0.0,0.0035359859466552734,0.0,10,1,30,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.48375,0.5152367557430848
19,0.483125,0.0,0.5033598999843726,0.0,0.034461259841918945,0.0,0.003992795944213867,0.0,3,30,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.483125,0.5033598999843726
19,0.483125,0.0,0.5033598999843726,0.0,0.03914618492126465,0.0,0.0037636756896972656,0.0,3,30,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.483125,0.5033598999843726
19,0.483125,0.0,0.5033598999843726,0.0,0.034824371337890625,0.0,0.0056798458099365234,0.0,3,30,100,"{'model__max_depth': 3, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.483125,0.5033598999843726
22,0.4825,0.0,0.5094546022816066,0.0,0.06020832061767578,0.0,0.0030040740966796875,0.0,6,1,30,"{'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.4825,0.5094546022816066
23,0.480625,0.0,0.49804656977652756,0.0,0.03139686584472656,0.0,0.0033109188079833984,0.0,3,1,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.480625,0.49804656977652756
24,0.478125,0.0,0.4961712767619941,0.0,0.0511782169342041,0.0,0.004088163375854492,0.0,3,1,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.478125,0.4961712767619941
24,0.478125,0.0,0.4961712767619941,0.0,0.03329038619995117,0.0,0.0040051937103271484,0.0,3,1,100,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.478125,0.4961712767619941
26,0.476875,0.0,0.4955461790904829,0.0,0.0348513126373291,0.0,0.004140138626098633,0.0,3,100,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.476875,0.4955461790904829
26,0.476875,0.0,0.4955461790904829,0.0,0.036551713943481445,0.0,0.0036084651947021484,0.0,3,100,30,"{'model__max_depth': 3, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.476875,0.4955461790904829
26,0.476875,0.0,0.4955461790904829,0.0,0.06359195709228516,0.0,0.004505157470703125,0.0,3,100,100,"{'model__max_depth': 3, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.476875,0.4955461790904829
29,0.473125,0.0,0.5016408813877168,0.0,0.04662823677062988,0.0,0.004132747650146484,0.0,6,1,100,"{'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.473125,0.5016408813877168
30,0.445625,0.0,0.46772933270823563,0.0,0.08186125755310059,0.0,0.0036001205444335938,0.0,10,1,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.445625,0.46772933270823563
31,0.43625,0.0,0.44975777465228944,0.0,0.09825515747070312,0.0,0.0029969215393066406,0.0,4,1,2,"{'model__max_depth': 4, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.43625,0.44975777465228944
32,0.43375,0.0,0.4472573839662447,0.0,0.06984686851501465,0.0,0.003458738327026367,0.0,4,1,30,"{'model__max_depth': 4, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.43375,0.4472573839662447
32,0.43375,0.0,0.4472573839662447,0.0,0.04751300811767578,0.0,0.003998279571533203,0.0,4,1,100,"{'model__max_depth': 4, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.43375,0.4472573839662447
34,0.42875,0.0,0.450070323488045,0.0,0.05138373374938965,0.0,0.003995180130004883,0.0,7,30,2,"{'model__max_depth': 7, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.42875,0.450070323488045
34,0.42875,0.0,0.450070323488045,0.0,0.06266140937805176,0.0,0.0029993057250976562,0.0,7,30,30,"{'model__max_depth': 7, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.42875,0.450070323488045
36,0.42125,0.0,0.45585247694952336,0.0,0.06791043281555176,0.0,0.004887580871582031,0.0,8,1,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.42125,0.45585247694952336
37,0.41625,0.0,0.4353805282075324,0.0,0.09290838241577148,0.0,0.008305549621582031,0.0,7,30,100,"{'model__max_depth': 7, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.41625,0.4353805282075324
38,0.4125,0.0,0.43959993749023285,0.0,0.05376124382019043,0.0,0.012038230895996094,0.0,8,1,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.4125,0.43959993749023285
39,0.41125,0.0,0.4233473980309424,0.0,0.0477147102355957,0.0,0.0029556751251220703,0.0,10,100,2,"{'model__max_depth': 10, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.41125,0.4233473980309424
39,0.41125,0.0,0.4233473980309424,0.0,0.06146526336669922,0.0,0.003999471664428711,0.0,10,100,30,"{'model__max_depth': 10, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.41125,0.4233473980309424
39,0.41125,0.0,0.4233473980309424,0.0,0.0517573356628418,0.0,0.004521608352661133,0.0,10,100,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.41125,0.4233473980309424
42,0.40375,0.0,0.45382090951711207,0.0,0.08193016052246094,0.0,0.0030035972595214844,0.0,10,30,2,"{'model__max_depth': 10, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.40375,0.45382090951711207
42,0.40375,0.0,0.45382090951711207,0.0,0.07972550392150879,0.0,0.0037221908569335938,0.0,10,30,30,"{'model__max_depth': 10, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.40375,0.45382090951711207
