rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,0.951875,0.0,0.9517112048757619,0.0,1.1800622940063477,0.0,0.010011672973632812,0.0,1e-06,0.001,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.001}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.1089935302734375,0.0,0.016604900360107422,0.0,1e-06,0.1,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.1}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.6035525798797607,0.0,0.012941360473632812,0.0,1e-05,0.001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.001}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.1945199966430664,0.0,0.010717153549194336,0.0,1e-05,0.1,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.1}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.194995641708374,0.0,0.016710996627807617,0.0,0.0001,0.001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.001}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.5103895664215088,0.0,0.015365123748779297,0.0,0.0001,0.1,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.1}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,2.77000093460083,0.0,0.017002582550048828,0.0,0.001,0.001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.001}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,1.0187957286834717,0.0,0.017520666122436523,0.0,0.001,0.1,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.1}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,2.039616584777832,0.0,0.017734289169311523,0.0,0.01,0.001,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.001}",0.951875,0.9517112048757619
1,0.951875,0.0,0.9517112048757619,0.0,2.0089356899261475,0.0,0.014549970626831055,0.0,0.01,0.1,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.1}",0.951875,0.9517112048757619
11,0.950625,0.0,0.9501484606969839,0.0,7.2164692878723145,0.0,0.08300018310546875,0.0,1e-06,1e-05,"{'model__alpha': 1e-06, 'model__learning_rate_init': 1e-05}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,1.522068738937378,0.0,0.03687286376953125,0.0,1e-06,0.0001,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.0001}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,6.641729831695557,0.0,0.010756254196166992,0.0,1e-05,1e-05,"{'model__alpha': 1e-05, 'model__learning_rate_init': 1e-05}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,2.6350674629211426,0.0,0.013936519622802734,0.0,1e-05,0.0001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.0001}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,8.405508756637573,0.0,0.015001296997070312,0.0,0.0001,1e-05,"{'model__alpha': 0.0001, 'model__learning_rate_init': 1e-05}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,2.2729177474975586,0.0,0.017685890197753906,0.0,0.0001,0.0001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.0001}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,7.169253587722778,0.0,0.011859655380249023,0.0,0.001,1e-05,"{'model__alpha': 0.001, 'model__learning_rate_init': 1e-05}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,2.0407841205596924,0.0,0.012027502059936523,0.0,0.001,0.0001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.0001}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,5.764924049377441,0.0,0.009667634963989258,0.0,0.01,1e-05,"{'model__alpha': 0.01, 'model__learning_rate_init': 1e-05}",0.950625,0.9501484606969839
11,0.950625,0.0,0.9501484606969839,0.0,1.8992855548858643,0.0,0.01167750358581543,0.0,0.01,0.0001,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.0001}",0.950625,0.9501484606969839
21,0.94875,0.0,0.9499921862791061,0.0,1.1505682468414307,0.0,0.016002655029296875,0.0,1e-06,0.01,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.01}",0.94875,0.9499921862791061
21,0.94875,0.0,0.9499921862791061,0.0,1.0887525081634521,0.0,0.011992931365966797,0.0,1e-05,0.01,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.01}",0.94875,0.9499921862791061
21,0.94875,0.0,0.9499921862791061,0.0,3.0161890983581543,0.0,0.013224124908447266,0.0,0.0001,0.01,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.01}",0.94875,0.9499921862791061
21,0.94875,0.0,0.9499921862791061,0.0,2.4128165245056152,0.0,0.012102842330932617,0.0,0.001,0.01,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.01}",0.94875,0.9499921862791061
21,0.94875,0.0,0.9501484606969839,0.0,1.2251043319702148,0.0,0.010490179061889648,0.0,0.01,0.01,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.01}",0.94875,0.9501484606969839
